"";"X";"dep";"cat";"sub";"url"
"1";1;"Almacén";"Aceites y Vinagres";"Aceites Comunes";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/aceites-comunes"
"2";2;"Almacén";"Aceites y Vinagres";"Aceites Especiales";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/aceites-especiales"
"3";3;"Almacén";"Aceites y Vinagres";"Acetos";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/acetos"
"4";4;"Almacén";"Aceites y Vinagres";"Jugos de Limón";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/jugos-de-limon"
"5";5;"Almacén";"Aceites y Vinagres";"Vinagres";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/vinagres"
"6";6;"Almacén";"Aderezos";"Mayonesas";"https://www.jumbo.com.ar/almacen/aderezos/mayonesas"
"7";7;"Almacén";"Aderezos";"Ketchup";"https://www.jumbo.com.ar/almacen/aderezos/ketchup"
"8";8;"Almacén";"Aderezos";"Mostazas";"https://www.jumbo.com.ar/almacen/aderezos/mostazas"
"9";9;"Almacén";"Aderezos";"Salsas Golf";"https://www.jumbo.com.ar/almacen/aderezos/salsas-golf"
"10";10;"Almacén";"Aderezos";"Salsas Frías";"https://www.jumbo.com.ar/almacen/aderezos/salsas-frias"
"11";11;"Almacén";"Aderezos";"Otros Condimentos";"https://www.jumbo.com.ar/almacen/aderezos/otros-condimentos"
"12";12;"Almacén";"Arroz y Legumbres";"Arroz";"https://www.jumbo.com.ar/almacen/arroz-y-legumbres/arroz"
"13";13;"Almacén";"Arroz y Legumbres";"Arroz Listos";"https://www.jumbo.com.ar/almacen/arroz-y-legumbres/arroz-listos"
"14";14;"Almacén";"Arroz y Legumbres";"Legumbres";"https://www.jumbo.com.ar/almacen/arroz-y-legumbres/legumbres"
"15";15;"Almacén";"Conservas";"Conservas de Carne";"https://www.jumbo.com.ar/almacen/conservas/conservas-de-carne"
"16";16;"Almacén";"Conservas";"Conservas de Frutas";"https://www.jumbo.com.ar/almacen/conservas/conservas-de-frutas"
"17";17;"Almacén";"Conservas";"Conservas de Pescado";"https://www.jumbo.com.ar/almacen/conservas/conservas-de-pescado"
"18";18;"Almacén";"Conservas";"Conservas de Verduras y Legumbres";"https://www.jumbo.com.ar/almacen/conservas/conservas-de-verduras-y-legumbres"
"19";19;"Almacén";"Desayuno y Merienda";"Azúcar y Edulcorantes";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/azucar-y-edulcorantes"
"20";20;"Almacén";"Desayuno y Merienda";"Bizcochuelos, Budines y Magdalenas";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/bizcochuelos-budines-y-magdalenas"
"21";21;"Almacén";"Desayuno y Merienda";"Cacao y Saborizantes";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/cacao-y-saborizantes"
"22";22;"Almacén";"Desayuno y Merienda";"Cafés";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/cafes"
"23";23;"Almacén";"Desayuno y Merienda";"Cereales";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/cereales"
"24";24;"Almacén";"Desayuno y Merienda";"Galletitas Dulces";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/galletitas-dulces"
"25";25;"Almacén";"Desayuno y Merienda";"Galletitas Saladas";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/galletitas-saladas"
"26";26;"Almacén";"Desayuno y Merienda";"Leches";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/leches"
"27";27;"Almacén";"Desayuno y Merienda";"Mermeladas y Jaleas";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/mermeladas-y-jaleas"
"28";28;"Almacén";"Desayuno y Merienda";"Piononos";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/piononos"
"29";29;"Almacén";"Desayuno y Merienda";"Tés";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/tes"
"30";30;"Almacén";"Desayuno y Merienda";"Yerbas";"https://www.jumbo.com.ar/almacen/desayuno-y-merienda/yerbas"
"31";31;"Almacén";"Golosinas y Chocolates";"Alfajores";"https://www.jumbo.com.ar/almacen/golosinas-y-chocolates/alfajores"
"32";32;"Almacén";"Golosinas y Chocolates";"Bocaditos y Postres";"https://www.jumbo.com.ar/almacen/golosinas-y-chocolates/bocaditos-y-postres"
"33";33;"Almacén";"Golosinas y Chocolates";"Bombones";"https://www.jumbo.com.ar/almacen/golosinas-y-chocolates/bombones"
"34";34;"Almacén";"Golosinas y Chocolates";"Caramelos y Chicles";"https://www.jumbo.com.ar/almacen/golosinas-y-chocolates/caramelos-y-chicles"
"35";35;"Almacén";"Golosinas y Chocolates";"Chocolates";"https://www.jumbo.com.ar/almacen/golosinas-y-chocolates/chocolates"
"36";36;"Almacén";"Golosinas y Chocolates";"Turrones y Grageas";"https://www.jumbo.com.ar/almacen/golosinas-y-chocolates/turrones-y-grageas"
"37";37;"Almacén";"Harinas";"Harinas";"https://www.jumbo.com.ar/almacen/harinas/harinas"
"38";38;"Almacén";"Harinas";"Avenas y Sémolas";"https://www.jumbo.com.ar/almacen/harinas/avenas-y-semolas"
"39";39;"Almacén";"Panificados";"Lacteados";"https://www.jumbo.com.ar/almacen/panificados/lacteados"
"40";40;"Almacén";"Panificados";"Pan Para Hamburguesas y Panchos";"https://www.jumbo.com.ar/almacen/panificados/pan-para-hamburguesas-y-panchos"
"41";41;"Almacén";"Panificados";"Tostadas y Grisines";"https://www.jumbo.com.ar/almacen/panificados/tostadas-y-grisines"
"42";42;"Almacén";"Panificados";"Pan Rallado y Rebozador";"https://www.jumbo.com.ar/almacen/panificados/pan-rallado-y-rebozador"
"43";43;"Almacén";"Panificados";"Integral y Salvado";"https://www.jumbo.com.ar/almacen/panificados/integral-y-salvado"
"44";44;"Almacén";"Para Preparar";"Bizcochuelos, Brownies y Tortas";"https://www.jumbo.com.ar/almacen/para-preparar/bizcochuelos-brownies-y-tortas"
"45";45;"Almacén";"Para Preparar";"Comidas";"https://www.jumbo.com.ar/almacen/para-preparar/comidas"
"46";46;"Almacén";"Para Preparar";"Flanes";"https://www.jumbo.com.ar/almacen/para-preparar/flanes"
"47";47;"Almacén";"Para Preparar";"Gelatinas";"https://www.jumbo.com.ar/almacen/para-preparar/gelatinas"
"48";48;"Almacén";"Para Preparar";"Helados";"https://www.jumbo.com.ar/almacen/para-preparar/helados"
"49";49;"Almacén";"Para Preparar";"Mousse";"https://www.jumbo.com.ar/almacen/para-preparar/mousse"
"50";50;"Almacén";"Para Preparar";"Pastelería";"https://www.jumbo.com.ar/almacen/para-preparar/pasteleria"
"51";51;"Almacén";"Para Preparar";"Postres";"https://www.jumbo.com.ar/almacen/para-preparar/postres"
"52";52;"Almacén";"Pastas Secas y Salsas";"Pastas Secas Guiseras";"https://www.jumbo.com.ar/almacen/pastas-secas-y-salsas/pastas-secas-guiseras"
"53";53;"Almacén";"Pastas Secas y Salsas";"Pastas Secas Largas";"https://www.jumbo.com.ar/almacen/pastas-secas-y-salsas/pastas-secas-largas"
"54";54;"Almacén";"Pastas Secas y Salsas";"Pastas Listas";"https://www.jumbo.com.ar/almacen/pastas-secas-y-salsas/pastas-listas"
"55";55;"Almacén";"Pastas Secas y Salsas";"Salsas";"https://www.jumbo.com.ar/almacen/pastas-secas-y-salsas/salsas"
"56";56;"Almacén";"Sal, Pimienta y Especias";"Sal";"https://www.jumbo.com.ar/almacen/sal-pimienta-y-especias/sal"
"57";57;"Almacén";"Sal, Pimienta y Especias";"Especias";"https://www.jumbo.com.ar/almacen/sal-pimienta-y-especias/especias"
"58";58;"Almacén";"Snacks";"Frutas Secas y Disecadas";"https://www.jumbo.com.ar/almacen/snacks/frutas-secas-y-disecadas"
"59";59;"Almacén";"Snacks";"Maní";"https://www.jumbo.com.ar/almacen/snacks/mani"
"60";60;"Almacén";"Snacks";"Nachos";"https://www.jumbo.com.ar/almacen/snacks/nachos"
"61";61;"Almacén";"Snacks";"Palitos de Maíz";"https://www.jumbo.com.ar/almacen/snacks/palitos-de-maiz"
"62";62;"Almacén";"Snacks";"Palitos Salados";"https://www.jumbo.com.ar/almacen/snacks/palitos-salados"
"63";63;"Almacén";"Snacks";"Papas Fritas";"https://www.jumbo.com.ar/almacen/snacks/papas-fritas"
"64";64;"Almacén";"Snacks";"Pochoclos";"https://www.jumbo.com.ar/almacen/snacks/pochoclos"
"65";65;"Almacén";"Snacks";"Snacks";"https://www.jumbo.com.ar/almacen/snacks/snacks"
"66";66;"Almacén";"Caldos, Sopas, Puré y Bolsas para Horno";"Puré";"https://www.jumbo.com.ar/almacen/caldos-sopas-pure-y-bolsas-para-horno/pure"
"67";67;"Almacén";"Caldos, Sopas, Puré y Bolsas para Horno";"Sopas";"https://www.jumbo.com.ar/almacen/caldos-sopas-pure-y-bolsas-para-horno/sopas"
"68";68;"Almacén";"Caldos, Sopas, Puré y Bolsas para Horno";"Caldos";"https://www.jumbo.com.ar/almacen/caldos-sopas-pure-y-bolsas-para-horno/caldos"
"69";69;"Almacén";"Libre de Gluten";"-";"https://www.jumbo.com.ar/almacen/libre-de-gluten"
"70";70;"Almacén";"Importados";"-";"https://www.jumbo.com.ar/almacen/importados"
"71";71;"Bebés y Niños";"Cuidado del Bebé";"Higiene del Bebé";"https://www.jumbo.com.ar/bebes-y-ninos/cuidado-del-bebe/higiene-del-bebe"
"72";72;"Bebés y Niños";"Juguetería";"Ensambles y Rompecabezas";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/ensambles-y-rompecabezas"
"73";73;"Bebés y Niños";"Juguetería";"Juegos de Mesa";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/juegos-de-mesa"
"74";74;"Bebés y Niños";"Juguetería";"Juguetes de Playa y Agua";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/juguetes-de-playa-y-agua"
"75";75;"Bebés y Niños";"Juguetería";"Juguetes para Bebés";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/juguetes-para-bebes"
"76";76;"Bebés y Niños";"Juguetería";"Juguetes";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/juguetes"
"77";77;"Bebés y Niños";"Juguetería";"Muñecas y Muñecos";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/munecas-y-munecos"
"78";78;"Bebés y Niños";"Juguetería";"Peluches";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/peluches"
"79";79;"Bebés y Niños";"Juguetería";"Disfraces";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/disfraces"
"80";80;"Bebés y Niños";"Juguetería";"Vehículos y Pistas";"https://www.jumbo.com.ar/bebes-y-ninos/jugueteria/vehiculos-y-pistas"
"81";81;"Bebés y Niños";"Ropa de Cama y Baño";"-";"https://www.jumbo.com.ar/bebes-y-ninos/ropa-de-cama-y-bano"
"82";82;"Bebés y Niños";"Alimentación";"-";"https://www.jumbo.com.ar/bebes-y-ninos/alimentacion"
"83";83;"Bebés y Niños";"Bañaderas, Cambiadores y Pelelas";"-";"https://www.jumbo.com.ar/bebes-y-ninos/banaderas-cambiadores-y-pelelas"
"84";84;"Bebés y Niños";"Mamaderas, Chupetes y Baberos";"-";"https://www.jumbo.com.ar/bebes-y-ninos/mamaderas-chupetes-y-baberos"
"85";85;"Bebés y Niños";"Muebles";"-";"https://www.jumbo.com.ar/bebes-y-ninos/muebles"
"86";86;"Bebés y Niños";"Cochecitos, Butacas y Sillitas";"-";"https://www.jumbo.com.ar/bebes-y-ninos/cochecitos-butacas-y-sillitas"
"87";87;"Bebés y Niños";"Seguridad";"-";"https://www.jumbo.com.ar/bebes-y-ninos/seguridad"
"88";88;"Bebés y Niños";"Pañales";"-";"https://www.jumbo.com.ar/bebes-y-ninos/panales"
"89";89;"Bebidas";"Aguas";"Aguas Sin Gas";"https://www.jumbo.com.ar/bebidas/aguas/aguas-sin-gas"
"90";90;"Bebidas";"Aguas";"Aguas Con Gas";"https://www.jumbo.com.ar/bebidas/aguas/aguas-con-gas"
"91";91;"Bebidas";"Aguas";"Aguas Saborizadas";"https://www.jumbo.com.ar/bebidas/aguas/aguas-saborizadas"
"92";92;"Bebidas";"Gaseosas";"Cola";"https://www.jumbo.com.ar/bebidas/gaseosas/cola"
"93";93;"Bebidas";"Gaseosas";"Lima Limón";"https://www.jumbo.com.ar/bebidas/gaseosas/lima-limon"
"94";94;"Bebidas";"Gaseosas";"Naranja";"https://www.jumbo.com.ar/bebidas/gaseosas/naranja"
"95";95;"Bebidas";"Gaseosas";"Pomelo";"https://www.jumbo.com.ar/bebidas/gaseosas/pomelo"
"96";96;"Bebidas";"Gaseosas";"Tónica";"https://www.jumbo.com.ar/bebidas/gaseosas/tonica"
"97";97;"Bebidas";"Gaseosas";"Guaraná";"https://www.jumbo.com.ar/bebidas/gaseosas/guarana"
"98";98;"Bebidas";"Jugos";"En Polvo";"https://www.jumbo.com.ar/bebidas/jugos/en-polvo"
"99";99;"Bebidas";"Jugos";"Listos";"https://www.jumbo.com.ar/bebidas/jugos/listos"
"100";100;"Bebidas";"Jugos";"Granadina";"https://www.jumbo.com.ar/bebidas/jugos/granadina"
"101";101;"Bebidas";"Jugos";"Frescos";"https://www.jumbo.com.ar/bebidas/jugos/frescos"
"102";102;"Bebidas";"A Base de Hierbas";"-";"https://www.jumbo.com.ar/bebidas/a-base-de-hierbas"
"103";103;"Bebidas";"Aperitivos";"-";"https://www.jumbo.com.ar/bebidas/aperitivos"
"104";104;"Bebidas";"Bebidas Blancas";"-";"https://www.jumbo.com.ar/bebidas/bebidas-blancas"
"105";105;"Bebidas";"Cervezas";"-";"https://www.jumbo.com.ar/bebidas/cervezas"
"106";106;"Bebidas";"Champagnes";"-";"https://www.jumbo.com.ar/bebidas/champagnes"
"107";107;"Bebidas";"Energizantes";"-";"https://www.jumbo.com.ar/bebidas/energizantes"
"108";108;"Bebidas";"Generosos";"-";"https://www.jumbo.com.ar/bebidas/generosos"
"109";109;"Bebidas";"Isotónicas";"-";"https://www.jumbo.com.ar/bebidas/isotonicas"
"110";110;"Bebidas";"Licores";"-";"https://www.jumbo.com.ar/bebidas/licores"
"111";111;"Bebidas";"Sidras";"-";"https://www.jumbo.com.ar/bebidas/sidras"
"112";112;"Bebidas";"Vinos";"Vinos Blancos";"https://www.jumbo.com.ar/bebidas/vinos/vinos-blancos"
"113";113;"Bebidas";"Vinos";"Vinos Tintos";"https://www.jumbo.com.ar/bebidas/vinos/vinos-tintos"
"114";114;"Bebidas";"Vinos";"Vinos Rosados";"https://www.jumbo.com.ar/bebidas/vinos/vinos-rosados"
"115";115;"Bebidas";"Vinos";"Vinos Frizantes";"https://www.jumbo.com.ar/bebidas/vinos/vinos-frizantes"
"116";116;"Bebidas";"Whiskys";"-";"https://www.jumbo.com.ar/bebidas/whiskys"
"117";117;"Bebidas";"Hielo";"-";"https://www.jumbo.com.ar/bebidas/hielo"
"118";118;"Carnes";"Carne de Cerdo";"-";"https://www.jumbo.com.ar/carnes/carne-de-cerdo"
"119";119;"Carnes";"Carne Vacuna";"Novillito";"https://www.jumbo.com.ar/carnes/carne-vacuna/novillito"
"120";120;"Carnes";"Carne Vacuna";"Ternera";"https://www.jumbo.com.ar/carnes/carne-vacuna/ternera"
"121";121;"Carnes";"Carne Vacuna";"La Hacienda Premium";"https://www.jumbo.com.ar/carnes/carne-vacuna/la-hacienda-premium"
"122";122;"Carnes";"Carne Vacuna";"La Hacienda Kosher";"https://www.jumbo.com.ar/carnes/carne-vacuna/la-hacienda-kosher"
"123";123;"Carnes";"Cordero, Lechón, Chivito y Conejo";"-";"https://www.jumbo.com.ar/carnes/cordero-lechon-chivito-y-conejo"
"124";124;"Carnes";"Embutidos";"Chorizos";"https://www.jumbo.com.ar/carnes/embutidos/chorizos"
"125";125;"Carnes";"Embutidos";"Morcilla";"https://www.jumbo.com.ar/carnes/embutidos/morcilla"
"126";126;"Carnes";"Embutidos";"Salchichas";"https://www.jumbo.com.ar/carnes/embutidos/salchichas"
"127";127;"Carnes";"Listos Para Cocinar";"-";"https://www.jumbo.com.ar/carnes/listos-para-cocinar"
"128";128;"Carnes";"Menudencias";"-";"https://www.jumbo.com.ar/carnes/menudencias"
"129";129;"Carnes";"Pollos";"Pollos";"https://www.jumbo.com.ar/carnes/pollos/pollos"
"130";130;"Carnes";"Pollos";"Pavos";"https://www.jumbo.com.ar/carnes/pollos/pavos"
"131";131;"Carnes";"Carbón y Leña";"-";"https://www.jumbo.com.ar/carnes/carbon-y-lena"
"132";132;"Congelados";"Comidas Congeladas";"Pizzas";"https://www.jumbo.com.ar/congelados/comidas-congeladas/pizzas"
"133";133;"Congelados";"Comidas Congeladas";"Empanadas y Tartas";"https://www.jumbo.com.ar/congelados/comidas-congeladas/empanadas-y-tartas"
"134";134;"Congelados";"Comidas Congeladas";"Comidas Congeladas";"https://www.jumbo.com.ar/congelados/comidas-congeladas/comidas-congeladas"
"135";135;"Congelados";"Frutas";"-";"https://www.jumbo.com.ar/congelados/frutas"
"136";136;"Congelados";"Hamburguesas y Milanesas";"-";"https://www.jumbo.com.ar/congelados/hamburguesas-y-milanesas"
"137";137;"Congelados";"Helados y Postres";"Helados";"https://www.jumbo.com.ar/congelados/helados-y-postres/helados"
"138";138;"Congelados";"Helados y Postres";"Postres";"https://www.jumbo.com.ar/congelados/helados-y-postres/postres"
"139";139;"Congelados";"Papas";"-";"https://www.jumbo.com.ar/congelados/papas"
"140";140;"Congelados";"Pescados y Mariscos";"-";"https://www.jumbo.com.ar/congelados/pescados-y-mariscos"
"141";141;"Congelados";"Pollo y Carnes";"-";"https://www.jumbo.com.ar/congelados/pollo-y-carnes"
"142";142;"Congelados";"Vegetales";"-";"https://www.jumbo.com.ar/congelados/vegetales"
"143";143;"Congelados";"Panaderia";"-";"https://www.jumbo.com.ar/congelados/panaderia"
"144";144;"Electro";"TV y Video";"Televisores";"https://www.jumbo.com.ar/electro/tv-y-video/televisores"
"145";145;"Electro";"TV y Video";"Reproductores";"https://www.jumbo.com.ar/electro/tv-y-video/reproductores"
"146";146;"Electro";"TV y Video";"Accesorios de TV y Video";"https://www.jumbo.com.ar/electro/tv-y-video/accesorios-de-tv-y-video"
"147";147;"Electro";"Aire Acondicionado y Ventilación";"Aire Acondicionado";"https://www.jumbo.com.ar/electro/aire-acondicionado-y-ventilacion/aire-acondicionado"
"148";148;"Electro";"Aire Acondicionado y Ventilación";"Ventilación";"https://www.jumbo.com.ar/electro/aire-acondicionado-y-ventilacion/ventilacion"
"149";149;"Electro";"Audio";"-";"https://www.jumbo.com.ar/electro/audio"
"150";150;"Electro";"Calefacción, Calefones y Termotanques";"Calefacción";"https://www.jumbo.com.ar/electro/calefaccion-calefones-y-termotanques/calefaccion"
