"";"X";"dep";"cat";"sub";"url"
"283";283;"Limpieza";"Accesorios de Limpieza";"Secadores y Cepillos";"https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/secadores-y-cepillos"
"284";284;"Limpieza";"Accesorios de Limpieza";"Trapos de Piso";"https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/trapos-de-piso"
"285";285;"Limpieza";"Calzado";"Brillos y Revividores";"https://www.jumbo.com.ar/limpieza/calzado/brillos-y-revividores"
"286";286;"Limpieza";"Calzado";"Limpiadores";"https://www.jumbo.com.ar/limpieza/calzado/limpiadores"
"287";287;"Limpieza";"Calzado";"Pomadas Para Calzado";"https://www.jumbo.com.ar/limpieza/calzado/pomadas-para-calzado"
"288";288;"Limpieza";"Cuidado Para La Ropa";"Aprestos y Blanqueadores";"https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/aprestos-y-blanqueadores"
"289";289;"Limpieza";"Cuidado Para La Ropa";"Cepillo Para Ropa";"https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/cepillo-para-ropa"
"290";290;"Limpieza";"Cuidado Para La Ropa";"Jabón en Pan";"https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/jabon-en-pan"
"291";291;"Limpieza";"Cuidado Para La Ropa";"Detergente Para Ropa";"https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/detergente-para-ropa"
"292";292;"Limpieza";"Cuidado Para La Ropa";"Quitamanchas";"https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/quitamanchas"
"293";293;"Limpieza";"Cuidado Para La Ropa";"Suavizantes";"https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/suavizantes"
"294";294;"Limpieza";"Cuidado Para La Ropa";"Perfumantes";"https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/perfumantes"
"295";295;"Limpieza";"Desodorantes de Ambiente";"Absorbe Humedad";"https://www.jumbo.com.ar/limpieza/desodorantes-de-ambiente/absorbe-humedad"
"296";296;"Limpieza";"Desodorantes de Ambiente";"Aromatizantes";"https://www.jumbo.com.ar/limpieza/desodorantes-de-ambiente/aromatizantes"
"297";297;"Limpieza";"Desodorantes de Ambiente";"Desodorantes y Desinfectantes";"https://www.jumbo.com.ar/limpieza/desodorantes-de-ambiente/desodorantes-y-desinfectantes"
"298";298;"Limpieza";"Insecticidas";"Aerosoles";"https://www.jumbo.com.ar/limpieza/insecticidas/aerosoles"
"299";299;"Limpieza";"Insecticidas";"Aparatos";"https://www.jumbo.com.ar/limpieza/insecticidas/aparatos"
"300";300;"Limpieza";"Insecticidas";"Cebos, Bolillas y Pastillas";"https://www.jumbo.com.ar/limpieza/insecticidas/cebos-bolillas-y-pastillas"
"301";301;"Limpieza";"Insecticidas";"Polvos y Líquidos";"https://www.jumbo.com.ar/limpieza/insecticidas/polvos-y-liquidos"
"302";302;"Limpieza";"Insecticidas";"Repelentes";"https://www.jumbo.com.ar/limpieza/insecticidas/repelentes"
"303";303;"Limpieza";"Insecticidas";"Tabletas y Difusores";"https://www.jumbo.com.ar/limpieza/insecticidas/tabletas-y-difusores"
"304";304;"Limpieza";"Lavandina";"-";"https://www.jumbo.com.ar/limpieza/lavandina"
"305";305;"Limpieza";"Limpieza de Baño";"Desinfectantes";"https://www.jumbo.com.ar/limpieza/limpieza-de-bano/desinfectantes"
"306";306;"Limpieza";"Limpieza de Baño";"Destapa Cañerías";"https://www.jumbo.com.ar/limpieza/limpieza-de-bano/destapa-canerias"
"307";307;"Limpieza";"Limpieza de Baño";"Pastillas y Bloques";"https://www.jumbo.com.ar/limpieza/limpieza-de-bano/pastillas-y-bloques"
"308";308;"Limpieza";"Limpieza de Cocina";"Detergentes";"https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/detergentes"
"309";309;"Limpieza";"Limpieza de Cocina";"Escarbadientes";"https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/escarbadientes"
"310";310;"Limpieza";"Limpieza de Cocina";"Fósforos";"https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/fosforos"
"311";311;"Limpieza";"Limpieza de Cocina";"Limpiadores";"https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/limpiadores"
"312";312;"Limpieza";"Limpieza de Cocina";"Limpiavidrios";"https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/limpiavidrios"
"313";313;"Limpieza";"Limpieza de Cocina";"Productos Para Lavavajillas";"https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/productos-para-lavavajillas"
"314";314;"Limpieza";"Limpieza de Pisos y Muebles";"Ceras y Autobrillos";"https://www.jumbo.com.ar/limpieza/limpieza-de-pisos-y-muebles/ceras-y-autobrillos"
"315";315;"Limpieza";"Limpieza de Pisos y Muebles";"Limpiadores de Pisos";"https://www.jumbo.com.ar/limpieza/limpieza-de-pisos-y-muebles/limpiadores-de-pisos"
"316";316;"Limpieza";"Limpieza de Pisos y Muebles";"Lustramuebles";"https://www.jumbo.com.ar/limpieza/limpieza-de-pisos-y-muebles/lustramuebles"
"317";317;"Limpieza";"Papeles";"Pañuelos";"https://www.jumbo.com.ar/limpieza/papeles/panuelos"
"318";318;"Limpieza";"Papeles";"Papel Higiénico";"https://www.jumbo.com.ar/limpieza/papeles/papel-higienico"
"319";319;"Limpieza";"Papeles";"Rollos de Cocina";"https://www.jumbo.com.ar/limpieza/papeles/rollos-de-cocina"
"320";320;"Limpieza";"Papeles";"Servilletas";"https://www.jumbo.com.ar/limpieza/papeles/servilletas"
"321";321;"Mascotas";"Perros";"Secos";"https://www.jumbo.com.ar/mascotas/perros/secos"
"322";322;"Mascotas";"Perros";"Húmedos";"https://www.jumbo.com.ar/mascotas/perros/humedos"
"323";323;"Mascotas";"Gatos";"Secos";"https://www.jumbo.com.ar/mascotas/gatos/secos"
"324";324;"Mascotas";"Gatos";"Húmedos";"https://www.jumbo.com.ar/mascotas/gatos/humedos"
"325";325;"Mascotas";"Otros Animales";"-";"https://www.jumbo.com.ar/mascotas/otros-animales"
"326";326;"Mascotas";"Accesorios para Mascotas";"-";"https://www.jumbo.com.ar/mascotas/accesorios-para-mascotas"
"327";327;"Panadería y Repostería";"Panadería";"Panadería";"https://www.jumbo.com.ar/panaderia-y-reposteria/panaderia/panaderia"
"328";328;"Panadería y Repostería";"Panadería";"Pizzas y Prepizzas";"https://www.jumbo.com.ar/panaderia-y-reposteria/panaderia/pizzas-y-prepizzas"
"329";329;"Panadería y Repostería";"Panadería";"Sándwiches";"https://www.jumbo.com.ar/panaderia-y-reposteria/panaderia/sandwiches"
"330";330;"Panadería y Repostería";"Repostería";"-";"https://www.jumbo.com.ar/panaderia-y-reposteria/reposteria"
"331";331;"Perfumería";"Cuidado Capilar";"Coloración";"https://www.jumbo.com.ar/perfumeria/cuidado-capilar/coloracion"
"332";332;"Perfumería";"Cuidado Capilar";"Acondicionador";"https://www.jumbo.com.ar/perfumeria/cuidado-capilar/acondicionador"
"333";333;"Perfumería";"Cuidado Capilar";"Fijación";"https://www.jumbo.com.ar/perfumeria/cuidado-capilar/fijacion"
"334";334;"Perfumería";"Cuidado Capilar";"Pediculosis";"https://www.jumbo.com.ar/perfumeria/cuidado-capilar/pediculosis"
"335";335;"Perfumería";"Cuidado Capilar";"Reparación y Tratamientos";"https://www.jumbo.com.ar/perfumeria/cuidado-capilar/reparacion-y-tratamientos"
"336";336;"Perfumería";"Cuidado Capilar";"Shampoo";"https://www.jumbo.com.ar/perfumeria/cuidado-capilar/shampoo"
"337";337;"Perfumería";"Cuidado Capilar";"Cepillos para Pelo";"https://www.jumbo.com.ar/perfumeria/cuidado-capilar/cepillos-para-pelo"
"338";338;"Perfumería";"Cuidado Personal";"Cepillos y Esponjas";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/cepillos-y-esponjas"
"339";339;"Perfumería";"Cuidado Personal";"Depilación";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/depilacion"
"340";340;"Perfumería";"Cuidado Personal";"Desodorantes de Hombres";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/desodorantes-de-hombres"
"341";341;"Perfumería";"Cuidado Personal";"Desodorantes de Mujer";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/desodorantes-de-mujer"
"342";342;"Perfumería";"Cuidado Personal";"Desodorantes y Polvos Pédicos";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/desodorantes-y-polvos-pedicos"
"343";343;"Perfumería";"Cuidado Personal";"Geles de Ducha";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/geles-de-ducha"
"344";344;"Perfumería";"Cuidado Personal";"Jabones";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/jabones"
"345";345;"Perfumería";"Cuidado Personal";"Protección Adultos";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/proteccion-adultos"
"346";346;"Perfumería";"Cuidado Personal";"Protección Femenina";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/proteccion-femenina"
"347";347;"Perfumería";"Cuidado Personal";"Productos Para Afeitarse";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/productos-para-afeitarse"
"348";348;"Perfumería";"Cuidado Personal";"Quitaesmaltes";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/quitaesmaltes"
"349";349;"Perfumería";"Cuidado Personal";"Higiene Preventiva";"https://www.jumbo.com.ar/perfumeria/cuidado-personal/higiene-preventiva"
"350";350;"Perfumería";"Cuidado de la Piel";"Cremas Corporales";"https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/cremas-corporales"
"351";351;"Perfumería";"Cuidado de la Piel";"Cremas Desmaquillantes";"https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/cremas-desmaquillantes"
"352";352;"Perfumería";"Cuidado de la Piel";"Cremas Faciales";"https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/cremas-faciales"
"353";353;"Perfumería";"Cuidado de la Piel";"Solares y Post-Solares";"https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/solares-y-post-solares"
"354";354;"Perfumería";"Cuidado Oral";"Pastas Dentales";"https://www.jumbo.com.ar/perfumeria/cuidado-oral/pastas-dentales"
"355";355;"Perfumería";"Cuidado Oral";"Cepillos Dentales";"https://www.jumbo.com.ar/perfumeria/cuidado-oral/cepillos-dentales"
"356";356;"Perfumería";"Cuidado Oral";"Enjuagues Bucales";"https://www.jumbo.com.ar/perfumeria/cuidado-oral/enjuagues-bucales"
"357";357;"Perfumería";"Cuidado Oral";"Accesorios Dentales";"https://www.jumbo.com.ar/perfumeria/cuidado-oral/accesorios-dentales"
"358";358;"Perfumería";"Farmacia";"Algodón";"https://www.jumbo.com.ar/perfumeria/farmacia/algodon"
"359";359;"Perfumería";"Farmacia";"Alcohol";"https://www.jumbo.com.ar/perfumeria/farmacia/alcohol"
"360";360;"Perfumería";"Farmacia";"Apósitos";"https://www.jumbo.com.ar/perfumeria/farmacia/apositos"
"361";361;"Perfumería";"Farmacia";"Preservativos";"https://www.jumbo.com.ar/perfumeria/farmacia/preservativos"
"362";362;"Perfumería";"Farmacia";"Otros";"https://www.jumbo.com.ar/perfumeria/farmacia/otros"
"363";363;"Perfumería";"Maquillaje";"Ojos";"https://www.jumbo.com.ar/perfumeria/maquillaje/ojos"
"364";364;"Perfumería";"Maquillaje";"Rostro";"https://www.jumbo.com.ar/perfumeria/maquillaje/rostro"
"365";365;"Perfumería";"Maquillaje";"Cuidado de Uñas";"https://www.jumbo.com.ar/perfumeria/maquillaje/cuidado-de-unas"
"366";366;"Perfumería";"Maquillaje";"Labios";"https://www.jumbo.com.ar/perfumeria/maquillaje/labios"
"367";367;"Perfumería";"Maquillaje";"Accesorios";"https://www.jumbo.com.ar/perfumeria/maquillaje/accesorios"
"368";368;"Quesos y Fiambres";"Dulces";"-";"https://www.jumbo.com.ar/quesos-y-fiambres/dulces"
"369";369;"Quesos y Fiambres";"Encurtidos, Aceitunas y Pickles";"-";"https://www.jumbo.com.ar/quesos-y-fiambres/encurtidos-aceitunas-y-pickles"
"370";370;"Quesos y Fiambres";"Fiambres";"Jamón Cocido y Crudo";"https://www.jumbo.com.ar/quesos-y-fiambres/fiambres/jamon-cocido-y-crudo"
"371";371;"Quesos y Fiambres";"Fiambres";"Fiambres";"https://www.jumbo.com.ar/quesos-y-fiambres/fiambres/fiambres"
"372";372;"Quesos y Fiambres";"Quesos";"Quesos Untables";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/quesos-untables"
"373";373;"Quesos y Fiambres";"Quesos";"Queso Muzzarella";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/queso-muzzarella"
"374";374;"Quesos y Fiambres";"Quesos";"Quesos Port Salut y Cremosos";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/quesos-port-salut-y-cremosos"
"375";375;"Quesos y Fiambres";"Quesos";"Quesos Semiblandos";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/quesos-semiblandos"
"376";376;"Quesos y Fiambres";"Quesos";"Quesos Duros";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/quesos-duros"
"377";377;"Quesos y Fiambres";"Quesos";"Quesos Especiales e Importados";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/quesos-especiales-e-importados"
"378";378;"Quesos y Fiambres";"Quesos";"Quesos Rallados";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/quesos-rallados"
"379";379;"Quesos y Fiambres";"Quesos";"Ricota";"https://www.jumbo.com.ar/quesos-y-fiambres/quesos/ricota"
"380";380;"Quesos y Fiambres";"Salchichas";"-";"https://www.jumbo.com.ar/quesos-y-fiambres/salchichas"
"381";381;"Quesos y Fiambres";"Picadas";"-";"https://www.jumbo.com.ar/quesos-y-fiambres/picadas"
"382";382;"Tiempo Libre";"Aire Libre";"Bicicletas y Accesorios";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/bicicletas-y-accesorios"
"383";383;"Tiempo Libre";"Aire Libre";"Camping";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/camping"
"384";384;"Tiempo Libre";"Aire Libre";"Deportes y Fitness";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/deportes-y-fitness"
"385";385;"Tiempo Libre";"Aire Libre";"Jardín";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/jardin"
"386";386;"Tiempo Libre";"Aire Libre";"Máquinas y Herramientas de Jardín";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/maquinas-y-herramientas-de-jardin"
"387";387;"Tiempo Libre";"Aire Libre";"Sombrillas y Gazebos";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/sombrillas-y-gazebos"
"388";388;"Tiempo Libre";"Aire Libre";"Parrillas y Accesorios";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/parrillas-y-accesorios"
"389";389;"Tiempo Libre";"Aire Libre";"Piletas y Accesorios";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/piletas-y-accesorios"
"390";390;"Tiempo Libre";"Aire Libre";"Reposeras";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/reposeras"
"391";391;"Tiempo Libre";"Aire Libre";"Rollers y Skates";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/rollers-y-skates"
"392";392;"Tiempo Libre";"Aire Libre";"Cloro";"https://www.jumbo.com.ar/tiempo-libre/aire-libre/cloro"
"393";393;"Tiempo Libre";"Librería";"Abrochadoras y Perforadoras";"https://www.jumbo.com.ar/tiempo-libre/libreria/abrochadoras-y-perforadoras"
"394";394;"Tiempo Libre";"Librería";"Agendas";"https://www.jumbo.com.ar/tiempo-libre/libreria/agendas"
"395";395;"Tiempo Libre";"Librería";"Bolígrafos, Lápices y Marcadores";"https://www.jumbo.com.ar/tiempo-libre/libreria/boligrafos-lapices-y-marcadores"
"396";396;"Tiempo Libre";"Librería";"Cajas";"https://www.jumbo.com.ar/tiempo-libre/libreria/cajas"
"397";397;"Tiempo Libre";"Librería";"Carpetas Escolares";"https://www.jumbo.com.ar/tiempo-libre/libreria/carpetas-escolares"
"398";398;"Tiempo Libre";"Librería";"Carpetas Para Archivo";"https://www.jumbo.com.ar/tiempo-libre/libreria/carpetas-para-archivo"
"399";399;"Tiempo Libre";"Librería";"Cartucheras";"https://www.jumbo.com.ar/tiempo-libre/libreria/cartucheras"
"400";400;"Tiempo Libre";"Librería";"Cuadernos Escolares";"https://www.jumbo.com.ar/tiempo-libre/libreria/cuadernos-escolares"
"401";401;"Tiempo Libre";"Librería";"Cuadernos Universitarios";"https://www.jumbo.com.ar/tiempo-libre/libreria/cuadernos-universitarios"
"402";402;"Tiempo Libre";"Librería";"Folios";"https://www.jumbo.com.ar/tiempo-libre/libreria/folios"
"403";403;"Tiempo Libre";"Librería";"Papeles, Tijeras, Geometría, Adhesivos y Artística";"https://www.jumbo.com.ar/tiempo-libre/libreria/papeles-tijeras-geometria-adhesivos-y-artistica"
"404";404;"Tiempo Libre";"Librería";"Repuestos de Hojas y Blocks";"https://www.jumbo.com.ar/tiempo-libre/libreria/repuestos-de-hojas-y-blocks"
"405";405;"Tiempo Libre";"Librería";"Resmas";"https://www.jumbo.com.ar/tiempo-libre/libreria/resmas"
"406";406;"Tiempo Libre";"Librería";"Moños, Cintas y Tarjetas de Regalo";"https://www.jumbo.com.ar/tiempo-libre/libreria/monos-cintas-y-tarjetas-de-regalo"
"407";407;"Tiempo Libre";"Libros";"Diccionarios";"https://www.jumbo.com.ar/tiempo-libre/libros/diccionarios"
"408";408;"Tiempo Libre";"Libros";"Adultos";"https://www.jumbo.com.ar/tiempo-libre/libros/adultos"
"409";409;"Tiempo Libre";"Libros";"Infantiles";"https://www.jumbo.com.ar/tiempo-libre/libros/infantiles"
"410";410;"Tiempo Libre";"Libros";"Novedades";"https://www.jumbo.com.ar/tiempo-libre/libros/novedades"
"411";411;"Tiempo Libre";"Libros";"Más Vendidos";"https://www.jumbo.com.ar/tiempo-libre/libros/mas-vendidos"
"412";412;"Tiempo Libre";"Libros";"Destacados";"https://www.jumbo.com.ar/tiempo-libre/libros/destacados"
"413";413;"Tiempo Libre";"Valijas, Bolsos, Mochilas y Luncheras";"Valijas";"https://www.jumbo.com.ar/tiempo-libre/valijas-bolsos-mochilas-y-luncheras/valijas"
"414";414;"Tiempo Libre";"Valijas, Bolsos, Mochilas y Luncheras";"Mochilas Escolares";"https://www.jumbo.com.ar/tiempo-libre/valijas-bolsos-mochilas-y-luncheras/mochilas-escolares"
"415";415;"Tiempo Libre";"Suplementos";"-";"https://www.jumbo.com.ar/tiempo-libre/suplementos"
"416";416;"Tiempo Libre";"Paraguas";"-";"https://www.jumbo.com.ar/tiempo-libre/paraguas"
