COD.PROD;PRODUCTO;TOTAL
77625;jugo ades manzana t.b.              x1lt;166302,85
77667;VINO TERMIDOR TINTO TETRA BRICK     X1LT;139342,03
77318;jugo ades manzana t.b.            x200cc;78245,11
20008;JABON POLVO ZORRO REGULAR BIOCR.- X400GR;78200,53
33001;AZUCAR SURCO                        X1KG;68392,45
17174;PAÐAL BABYSAN GRANDE -3382-         X9UN;56991,96
17097;PAÐAL BABYSAN EX-GRANDE-3383-       X8UN;53551,19
20471;JABON POLVO ALA REG.MULTIACC.-0125-X400G;43957,22
17579;ROLLO COCINA SOL MAYOR -            X3UN;42205,27
4137;YERBA LA TRANQUERA SAQUITOS -576-  X25UN;41690,59
24020;HARINA BONANZA -                    X1KG;40424,57
9221;ARROZ 53 BLUE BONET -73258-       X500GR;39868,14
17162;PAÐAL BABYSAN EXXGDE-3488-          X8UN;39592,26
91048;QUESO CREMOSO LA UNION               XKG;39454,92
17150;TOALLA LADYSOFT NOR/SUA.C/ALAS-9608-X8UN;38002,60
1654;GALLETA LIA MEDIA TARDE  -3363-   X330GR;36680,09
4180;YERBA COMPUESTA CBSE -3201-       X500GR;36381,76
50148;ESPIRAL X-5                         X4UN;33438,93
20478;JABON POLVO ALA REG.C/VIV.MULTIAC.X400GR;33006,59
7379;VINO MICHEL TORINO SELECCION TTO -X700CC;32658,72
17595;PAPEL HIG.HIGIENOL SIN FIN -60MT-   X6UN;30599,08
91150;QUESO CREMOSO WINDY  -            XKG;29887,12
20118;JABON POLVO ALA REG.SOL MULTIACC. X400GR;29106,24
50064;INSECTICIDA X-5 MMM DOBLE ACC.AER.X360CC;27976,65
32043;LECHE POLVO NIDO+NUTRICION LATA - X800GR;26698,77
91002;QUESO CREMOSO RAMOLAC                XKG;25651,45
4018;YERBA COMPUESTA CBSE              X250GR;24263,37
4035;YERBA AMANDA                      X500GR;23904,99
17448;PAPEL HIG.HIGIENOL RINDE 50M NVA IMA.X4U;23891,41
91268;QUESO CREMOSO NOAL -001-             XKG;23693,37
4111;YERBA CACHAMATE ROSA              X500GR;23133,37
93045;MORTADELA CAÐON PALADINI -20552-     XKG;23105,04
92232;SALCHICHA VIENA 66        -140-     X6UN;22938,61
9190;FIDEO LA PROVIDENCIA SPAGUETTI    X500GR;22377,52
25267;MAYONESA HELLMANNS        -5968-  X118GR;21804,51
92235;MEDALLON DE CARNE FRIAR -         X114GR;21587,17
77076;JUGO INCA BC NARANJA SOBRE-        X30GR;21271,15
24007;HARINA LA TERESINA                 -X1KG;21243,24
77795;FERNET BRANCA                     X450CC;21127,76
23113;ACEITE COCINERO GIRASOL -7.77-    X1.5LT;21040,69
4054;TE LA VIRGINIA SAQ.PAPEL FILT.RAP. X25UN;20873,24
91237;QUESO TYBO RAMOLAC-002-              XKG;20492,22
32051;LECHE LV MILKAUT-2134-ENT.VIT.A,DYC X1LT;20022,31
50007;INSECTICIDA RAID MMM -293-        X420CC;19492,15
6385;PICADILLO LA BLANCA DE CARNE       X90GR;19348,50
29035;CALDO KNORR GALLINA REC. COLEC.    X12UN;19107,72
34024;GRASA DE VACA SWIFT               X500GR;18607,26
77292;VINO FRIZZE EVOLUTION BLUE -14270-X750CC;18510,30
93101;MORTADELA BOLOGÐA CAÐON LARIO  -3-   XKG;17846,06
17627;PAPEL HIG.CAMPANITA CLASSIC 30MT-   X1UN;17830,27
29007;CALDO KNORR VERDURA REC.COLEC.     X12UN;17286,80
13286;LAVANDINA TRADIC.X-5 BOTELLA -9029- X1LT;17211,73
77623;jugo ades naranja t.b. -135994-     x1lt;17024,85
6372;CABALLA ACEITE PENNISI            X380GR;16690,78
91049;QUESO TYBO LA UNION                  XKG;16472,00
4142;YERBA CACHAMATE COMPUESTA-269-   X500GR;16124,35
93013;SALAME T/MILAN 66 AL VACIO -42-      XKG;15463,36
25197;MAYONESA HELLMANNS DOY PACK-953266-X250C;15219,65
4043;YERBA BROCHE DE ORO               X500GR;14957,29
1175;GALLETA PINDY CRACKERS            X330GR;14950,46
11420;PURE TOMATE ALCO                  X260GR;14855,46
18195;VELAS FAROLITO -297-               X68GR;14756,34
10122;DURAZNO MORA MITADES              X820GR;14650,30
77665;VINO TERMIDOR BLANCO TETRA BRICK    X1LT;14560,11
1085;GALLETA BAGLEY SALVADO -9995-     X642GR;14456,57
7317;VINO VIÐAS DE BALBO BORGOÐA     X1.250LT;14400,89
90074;LECHE RAMOLAC ENTERA SACHET         X1LT;14294,32
91005;QUESO BARRA WINDY -                  XKG;14247,57
21052;SAL MANTO BLANCO FINA             X500GR;14179,29
7823;GASEOSA PEPSI COLA -61-             X2LT;14080,62
17437;PAPEL HIG.HIGIENOL EXPORT 30M-1465- X6UN;14068,57
92910;MEDALLON CARNE SWIFT CLASICA-21526- X2UN;13516,20
50015;TABLETA P/MOSQUITO RAID     -098-  X24UN;13515,10
24004;HARINA LEUDANTE BLANCAFLOR          X1KG;13346,36
11044;PURE TOMATE MORA                  X520GR;13291,95
11411;PURE TOMATE ALCO TETRA BRICK      X520GR;13247,46
7602;SODA MANAOS SIFON -                 X2LT;12782,10
77796;FERNET BRANCA                     X750CC;12451,83
32052;LECHE LV MILKAUT-2132-DES.VIT.A,DYC X1LT;12415,94
25201;MAYONESA FANACOA SACHET-944802-   X118GR;12391,92
17247;PAÐAL BABYSEC ULTRA HIPER GDE-4147-X60UN;12388,29
17689;ROLLO COCINA SUSSEX EXTRA 50 PAÐOS  X3UN;12371,80
17106;PAÐAL BABYSAN MEDIANO -3381-      X10UN;12301,49
77666;VINO TERMIDOR ROSADO TETRA BRICK    X1LT;11749,23
17509;PAÐAL BABYSEC CLASICO TANGA XGDE -  X8UN;11540,95
17506;PAÐAL BABYSEC CLASICO TANGA GDE -   X9UN;11500,91
9137;FIDEO LA PROVIDENCIA SPAGUETTI -    X5KG;11442,71
17249;PAÐAL BABYSEC ULTRA HIPER XG       X48UN;11217,42
19008;ALCOHOL FRAU PURO PVC             X250CC;10763,15
21313;SAL CELUSAL FINA PAQUETE          X500GR;10685,14
17891;PAÐAL BABYSEC ULTRA EX.GDE.C/BA-4198-X8U;10660,00
17111;PAÐAL BABYSEC ULTRA GDE.C/BARRERA   X9UN;10643,74
9651;ARROZ SUSARELLI LARGO FINO-93244- X500GR;10453,39
4050;CAFE LA VIRGINIA MOLIDO SAQUITO-   X20UN;10441,72
91050;QUESO SARDO LA UNION                 XKG;10423,09
23097;aceite cocinero girasol -4.57-    x900cc;10376,99
50147;ESPIRAL X-5 -266-                 X12 UN;10364,11
3050;POLENTA PRESTOPRONTA-6600-        X500GR;10200,95
20480;JABON POLVO ALA MATIC MULTIAC.    X400GR;10189,63
17250;PAÐAL BABYSEC ULTRA HIPER XXG-4189-X48UN;10151,35
6090;PICADILLO SWIFT DE CARNE -         X90GR;10004,23
23117;ACEITE LEGITIMO GIRASOL PVC-4.24- X900CC;9828,39
90546;YOGUR MANFREY-60305-BEB.FRUTILLA    X1KG;9815,16
20441;JABON PAN ALA (ESPUMA)            X200GR;9785,42
1192;GALLETA BAGLEY SURTIDO -6803-     X400GR;9731,02
92028;HAMBURGUESA PATY FINAS -2014-       X2UN;9490,13
20481;JABON POLVO ALA MATIC SOL MULTIAC.X400GR;9441,17
77649;JUGO ENERGIZANTE SPEED-UNLIMITED  X250CC;9327,60
25127;mostaza savora-207529-aniv.sachet  x60gr;9075,36
20228;JABON TOC.KENIA VARIEDAD-1266-    3X90GR;8942,16
17222;ALGODON ESTRELLA PREMIUM -10178-   X75GR;8863,18
17028;PAPEL HIG.CAMPANITA CLASSIC -30MT-  X4UN;8746,79
9209;ARROZ PELEADOR BLUE BONET           X1KG;8507,67
17879;PAPEL HIG.FIRULETE                  X1UN;8410,55
4108;YERBA NOBLEZA GAUCHA AZUL-55256-  X500GR;8394,32
93081;SALAME T/MILAN FELA -17772-          XKG;8384,11
92006;SALCHICHA VIENA CARCARAÐA -         X6UN;8280,12
90399;yogur yoguris-508-frut.fort.ent. x1000gr;8236,26
29177;CALDO WILDE GALLINA      -8205-    X12UN;8179,22
90072;ACTIMEL-574-FRUTILLA PACK        6X100GR;8154,39
13190;LAVANDINA AYUDIN MAXIMA PUREZA-     X1LT;8007,23
9761;FIDEO LUCCHETTI SPAGHETTI-30896-  X500GR;7960,71
4610;YERBA PERIQUITA                   X500GR;7927,76
31830;CREMA DENTAL COLGATE -143-         X70GR;7891,26
20831;JABON POLVO ACE TRAD.REG.         X400GR;7799,94
27053;SECADOR DE GOMA SACCHI (40 CM)      X1UN;7539,69
1327;GALLETA BAGLEY TRAVIATA -8722-    X303GR;7515,55
25056;MAYONESA HELLMANNS BOLSA-7093- X2900CC;7499,96
24014;HARINA FAVORITA 0000-11812-         X1KG;7468,30
13621;SUAVIZANTE BORITA DOY PACK -1007- X900CC;7441,91
11372;PURE TOMATE NOEL TETRA BRICK-019- X520GR;7417,15
29076;SOPA KNORR CASERA POLLO C/CAB.ANG.   XUN;7416,99
6373;CABALLA ACEITE PUGLISI            X380GR;7396,96
13523;DETERGENTE BORA SACHET   -8002-   X135CC;7319,23
25272;MAYONESA HELLMANNS DOY PACK -5970-X500CC;7290,37
20119;JABON POLVO DRIVE REG.BRISA TARDE X400GR;7248,74
92342;SALCHICHA VIENA DON OTTO            X6UN;7222,63
3390;PAN RALLADO PREFERIDO-2835-       X500GR;7152,62
1697;VAINILLA MAURI         -DH600-     X80GR;7083,20
17026;PAÐAL HUGGIES CLASSIC XG -97442-    X8UN;6976,42
17493;PAPEL HIG.CAMPANITA CLAS.30MT-008-  X6UN;6884,60
7374;JUGO BAGGIO DURAZNO T.BRIK -        X1LT;6724,31
17071;PAÐAL HUGGIES CLASSIC XXG -97443-   X8UN;6615,58
9245;FIDEO LA PROVIDENCIA MOÐO -       X500GR;6606,92
93203;FIAMBRE AMERC.CRISTAL BIERZO-433-    XKG;6601,17
38055;ACEITUNA VERDE LA RIOJANITA P.PACK X130G;6552,97
90138;YOGUR YOGURIS.-957-CREMIX FRUT.  4X120GR;6467,75
13206;DETERGENTE ALA LIMON -            X750CC;6453,07
90291;MANTECA COTAMPO PAN ALUM.-        X100GR;6448,14
13045;LUSTRAMUEBLE BLEM AEROSOL  -160-  X360CC;6442,03
86010;LEVADURA DUQUESA -                X500GR;6423,68
4045;YERBA BROCHE DE ORO               X250GR;6411,32
20479;JABON POLVO ALA MATIC VIV.VIOL.MULT.X400;6404,36
11440;TOMATE TRITURADO LA RIOJANITA D.P X500GR;6369,43
50078;INSECTICIDA RAID MMM AER.-078-    X360CC;6339,81
4085;YERBA LA TRANQUERA SAQUITO-577-    X50UN;6271,46
92316;SALCHICHA VIENA PANCHIN             X6UN;6206,96
23114;VINAGRE FRAU ALCOHOL PVC          X950CC;6203,54
21127;PIMENTON LA CAMPIÐA EXTRA-11392-    X1KG;6192,19
77368;jugo ades naranja t.b.            x200cc;6110,33
3389;REBOZADOR PREFERIDO-2690-         X500GR;6070,01
29138;SOPA KNORR CASERA VER.C/ARROZ-5025- X1UN;5954,38
13601;SUAVIZANTE BORITA AROMA SOL -1004-X900CC;5933,52
41003;SHAMPOO SEDAL CERAMIDAS -931641-   X10ML;5901,06
37069;MAQ.AF.PRESTOBARBA ULTRAG.FIJO BOL. X5UN;5852,49
20281;JABON POLVO ACE NAT.C/SUAV.REG.-  X400GR;5832,28
41021;SHAMPOO PLUSBELLE CERAM.ACTIVAS     X1LT;5830,82
77196;APERITIVO GANCIA -10000-          X950CC;5805,11
11094;TOMATE TRITURADO LA RIOJANITA BOT.  X1KG;5729,09
20170;JABON POLVO DRIVE REG.FRESC.MAR   X400GR;5680,14
17245;PAÐAL BABYSEC ULTRA HIPER MED-4146-X72UN;5654,25
90588;YOGUR YOGURIS-908-FIRME FRUT.PACK4X125G;5634,48
17126;PAPEL HIG.HIGIENOL MAX NUEVA IMAGEN-X6UN;5622,51
9226;FIDEO LA PROVIDENCIA CODO -       X500GR;5596,43
90028;YOGUR RAMOLAC ENT.SACH.FRUTILLA-X1000GR;5591,00
17477;PAÐAL BABYSAN PEQUEÐO-3380-        X12UN;5506,63
9222;ARROZ 53 BLUE BONET -73257-         X1KG;5482,54
41011;SHAMPOO SEDAL CREMA -932112-       X10ML;5466,25
18156;LAMPARA PHILIPS HALOGENA ECOCLAS.53W-XUN;5444,02
90835;POSTRE DANONINO-094-MAXI FRUTILLA 2X70GR;5424,49
20179;JABON POLVO SKIP INTEL.PERF.R-229-X400GR;5326,86
9235;FIDEO LA PROVIDENCIA TIRABUZON -  X500GR;5324,01
20306;JABON POLVO ZORRO REGULAR BIOCRIST- X3KG;5306,40
93071;PALETA DE CERDO COCIDA FRIGOFE -     XKG;5263,89
20437;JABON POLVO ACE NAT.C/SUAV.MINI.    X3KG;5261,82
4171;YERBA TARAGUI SAQUITO    -100072-  X25UN;5244,85
20009;JABON PAN GIGANTE LIMP.CLASICA-   X200GR;5233,15
7605;JUGO GATORADE FRUTAS TROPIC.-1099-X473CC;5229,03
4083;YERBA LA HOJA                     X500GR;5206,54
3088;BURGOL JOSE LOPEZ FINO            X500GR;5189,01
90547;YOGUR MANFREY-60306-BEB.VAINILLA    X1KG;5172,38
90583;YOGUR YOGURIS-908-FIRME VAIN.PACK4X125G;5164,49
77644;jugo ades fruta tropical t.b-135992-x1lt;5126,59
6003;SARDINA ACEITE GOMEZ DA COSTA     X125GR;5125,83
31202;TALCO REXONA EFFICIENT POLVO-4725-X100GR;5104,61
5009;CACAO ZUCOA VITAMINAS -93215-     X180GR;5059,19
77222;JUGO BAGGIO MULTIFRUTA T.B.-12597-  X1LT;5011,02
90948;YOGUR MANFREY YOFREY ENT.FRUTILLA X120GR;5009,08
78030;JUGO INCA BC MULTIFRUTAS SOBRE -   X30GR;5002,04
90390;yogur yoguris-508-vain.fort.ent. x1000gr;4918,11
93064;FIAMBRE COCIDO PALETA D/CERDO LARIO- XKG;4900,73
13418;SUAVIZANTE BORITA CAR.MAMA-121011-X900CC;4900,15
28329;DULCE LECHE GJA.DE ORO FAMIL-40300-X250G;4846,88
29091;SOPA KNORR CASERA VEG.C/LETRA-97536- XUN;4843,64
90001;MANTECA RAMOLAC PAN ALUM.         X100GR;4833,29
28484;DULCE LECHE MANFREY-40104-        X400GR;4815,47
29104;SOPA KNORR CREMA POLLO-236445-       XUN;4814,49
50068;INSECTICIDA RAID MMM S/OLOR -444- X360CC;4764,80
6048;VIANDADA LA BLANCA -17176-        X332GR;4722,18
13172;DESINFECT.LYSOFORM CLASICO-375-   X360CC;4674,33
9762;FIDEO LUCCHETTI TALLARIN-30897-   X500GR;4673,05
29178;CALDO WILDE VERDURA      -8202-    X12UN;4609,58
18271;FOSFOROS FAMILIAR                 X220UN;4603,42
18081;LAMPARA OSRAM DULUX VALUE 20W/865 -  XUN;4580,07
31107;CREMA DENTAL COLG.HERBAL BCO-13366-X90GR;4571,81
32111;LECHE SANCOR BEBE 1-0 A 6 M-3795- X250CC;4565,96
90457;YOGUR RAMOLAC C/CER.ENTERO        X140GR;4557,78
93455;MORTADELA VEJIGA RECREO -110-        XKG;4553,84
29072;SOPA KNORR CREMA CHOCLO -            XUN;4540,11
31136;DESOD.REXONA ODORONO-237143- POTE  X60GR;4529,71
13135;LIMP.LIQ.POETT LAVANDA    -2615-  X900CC;4523,97
18158;LAMPARA SOL DE NOCHE HALOG.70W       XUN;4517,79
29006;CALDO MAGGI GALLINA-12177182-      X12UN;4484,34
13622;SUAVIZANTE BORITA BEBE DOY P-2152-X900CC;4480,71
13065;DETERGENTE ALA PODER NATUR.-236015-X750C;4449,93
17139;PAPEL HIG.HIGIENOL MAX N/IMAG.100MT-X4UN;4438,88
4288;CAFE LA VIRGINIA EQUILIBRADO-5322-X125GR;4432,23
20482;JABON POLVO ALA MAT. C/VIV.CEL.MUL.X400G;4417,22
28033;DULCE LECHE GRANJA DE ORO FAMILIAR-X400G;4397,37
95021;TAPA P/PASCUALINA LA TUCUMANITA     X2UN;4385,00
17505;PAÐAL HUGGIES CLASSIC GDE-96595-    X9UN;4378,68
90375;YOGUR RAMOLAC C/CER.FRUTILLA ENT. X140GR;4375,76
5015;CACAO NESQUIK BOLSA -12179777-    X180GR;4317,02
27233;TRAPO PISO M.NARAN.GRIS COMP.NVA MED.XUN;4302,26
36026;QUESO RALLADO CHELITA CAJA         X40GR;4293,55
18222;LAMPARA OSRAM HALOGENA CLAS.A 53W   XUN;4273,80
24002;HARINA FAVORITA 000-12415-          X1KG;4263,15
50029;ESPIRAL RAID COUNTRY FRESH -441-   X12UN;4253,84
78027;JUGO INCA BC NARANJA-BANANA SOBRE- X30GR;4228,02
13287;LAVANDINA TRADIC.X-5 SACHET -9030-X250CC;4223,98
13331;DETERGENTE ALA GLICERINA -236011- X750CC;4220,60
41347;ACOND.PLUSBELLE CERAMIDAS C/AMINOB- X1LT;4215,27
20253;JABON POLVO ZORRO REGULAR BIOCRIST-X800G;4186,84
13007;DETERGENTE MAGISTRAL LIMON        X300ML;4167,98
20490;JABON POLVO ALA REGULAR MULTIACC. X800GR;4154,67
4601;YERBA PERIQUITA                     X1KG;4131,54
41087;SHAMPOO PLUSBELLE ALGAS MARINAS     X1LT;4119,45
17392;PAÐAL BABYSEC ULT.TRI/GRANDE       X30UN;4114,09
90126;ACTIMEL-574-MULTIFRUTA PACK      6X100GR;4070,81
29029;CALDO MAGGI VERDURA-12179082-      X12UN;4024,55
78025;JUGO INCA BC ANANA SOBRE-          X30GR;4018,82
1035;GALLETA TERRABUSI VARIEDAD-       X400GR;4016,42
78029;JUGO INCA BC ANANA-BANANA SOBRE-   X30GR;4012,44
1044;GALLETA LIA DESFILE  -6807-       X400GR;4004,79
19104;LA GOTITA POMO                      X2GR;4001,62
1331;GALLETA MAURI S/SAL               X400GR;3998,42
21035;PIMENTON VILLA RICA -              X25GR;3956,34
92166;HAMBURGUESA PALADINI -23069-        X2UN;3918,41
17056;PAPEL HIG.HIGIENOL EXPORT 30M PLUS  X4UN;3903,26
9248;FIDEO LA PROVIDENCIA MOÐO -         X5KG;3899,63
41215;CREMA DENTAL KOLYNOS S/BLANCA-12005-X70G;3864,53
90950;YOGUR MANFREY YOFREY ENT.VAINILLA X120GR;3845,40
20180;JABON POLVO DRIVE REG.DISF.ATARD. X400GR;3837,01
93513;MORTADELA LA PIAMONTESA GIGANTE-1103-XKG;3821,60
17253;ROLLO COCINA SUSSEX ULT.60 PAÐ.-653-X3UN;3800,90
4004;YERBA LA TRANQUERA -590-          X500GR;3769,13
13502;DESINFECT.LYSOFORM LAVANDA AER.   X360CC;3762,13
1698;GALLETA MAURI FAUNA       -DS621- X150GR;3748,40
90029;YOGUR RAMOLAC ENT.SACH.VAINILLA-X1000GR;3738,15
92002;SALCHICHA VIENA VIENISSIMA-60884-   X6UN;3735,48
29108;PURE PAPA KNORR           -13659- X125GR;3730,96
17415;PAPEL HIG.HIGIENOL EXPORT 30M-1463- X4UN;3717,35
31894;CREMA DENTAL COLGATE ORIG.-140- X180GR;3687,13
90115;LECHE LA SERENISIMA C/CALC.ENT.SACH-X1LT;3682,45
4039;YERBA PERIQUITA BOLSA              X10KG;3673,95
20442;JABON PAN ALA (ESPUMA)           2X200GR;3660,84
6011;CABALLA ACEITE MARBELLA           X425GR;3654,36
15029;EDULCORANTE SI-DIET LIQUIDO       X200CC;3646,11
90217;YOGUR RAMOLAC ENT.PO.FRUTILLA     X125GR;3615,27
9051;FIDEO LA PROV.C/L X5KG+HAR.BONANZA X1KG;3609,43
17031;PAPEL HIG.ROLISU 30MT         -0054-X1UN;3606,38
95149;RAVIOLITOS LA TUCUMANITA BOLSA    X500GR;3597,93
90036;ACTIMEL-574-VAINILLA PACK        6X100GR;3585,84
11045;ARVEJA VALLE DE ORO(INCA)         X350GR;3581,09
31529;DESOD.KEVIN   -372/3 -AEROSOL     X150ML;3576,38
18289;LAMPARA OSRAM HALOGENA CLAS.A 70W    XUN;3569,38
37052;MAQ.AF.MINORA TWIN CARTEL-59793-    X1UN;3559,63
41487;SHAMPOO PLUSBELLE LECHE/ALM.C/AMINOB-X1L;3531,34
4037;YERBA AMANDA                      X250GR;3527,88
7603;JUGO GATORADE MANZANA    -1102-   X473CC;3524,24
18159;LAMPARA SOL DE NOCHE HALOG.53W       XUN;3515,08
27054;SECADOR DE GOMA SACCHI (50 CM)      X1UN;3469,09
77584;jugo ades durazno  t.b.             x1lt;3462,00
97352;PREPIZZA ALBERTUS MERCOFRUT-        X3UN;3430,37
9295;ARROZ 53 BLUE BONET -           10X500GR;3427,87
91070;QUESO CREMOSO CHELITA       -2417-   XKG;3425,81
4075;TE LA VIRGINIA BOLDO SAQ. -31012-  X25UN;3415,44
3046;BURGOL LA ESPAÐOLA                X500GR;3400,45
9185;FIDEO LA PROVIDENCIA TIRABUZON-     X5KG;3398,25
20110;JABON PAN GIGANTE SUAVE TERNURA-  X200GR;3381,30
50152;FLUIDO DESINFECTANTE X-5 LIQ.PLAST.X480C;3363,57
7519;JUGO BAGGIO DURAZNO T.B-          X200CC;3361,08
3253;CEREAL GRANIX SKARCHITO VITAM.    X240GR;3323,49
4283;YERBA CBSE SILUETA DR CORM.-3212- X500GR;3310,25
4172;YERBA TARAGUI SAQUITO     -100073- X50UN;3303,65
41277;ACOND.PLUSBELLE ALGAS MAR.C/AMINOB-X1LT;3298,61
36015;QUESO RALLADO LA BABILONIA -       X40GR;3295,60
28018;DULCE BATATA DULCOR C/CHOC.CAJON    X5KG;3279,53
10101;DURAZNO INCA                      X820GR;3276,36
20192;JABON TOC.PLUSBELLE CERAM.C/ACEITE-X140G;3275,37
21022;PROVENZAL LA CAMPIÐA -11311-      X500GR;3269,89
78033;JUGO INCA BC DURAZNO SOBRE          X30G;3264,16
11180;SALSA CICA PIZZA-206505-         X340GR;3254,67
4123;CAFE ARLISTAN SUAVE-93134-        X170GR;3253,26
90125;YOGUR YOGURIS.-957-CREMIX VAIN.  4X120GR;3237,59
11017;ARVEJA INCA                       X350GR;3237,52
9194;FIDEO LA PROVIDENCIA MOSTACHOL-   X500GR;3235,18
50074;TABLETA P/MOSQUITO X-5 -113017-   X20UN;3225,64
41359;ACOND.PLUSBELLE CREME C/AMINOB-     X1LT;3191,74
3010;POLENTA MAGICA-17190-             X500GR;3156,22
97264;PAN VIENA ALBERTUS MERCOFRUT -      X6UN;3150,93
1309;GALLETA LIA POLVORITA FRUTILL.-2881-X80G;3149,37
50079;ESPIRAL RAID - 407-                X12UN;3147,98
11140;PURE TOMATE CANALE T/BRIK -       X260GR;3131,58
28022;MERMELADA DULCOR DURAZNO POTE    -X500GR;3128,14
3014;POLENTA JOSE LOPEZ                X500GR;3119,33
50020;INSECTICIDA X-5 MATA CUCAR.Y HORM.X360CC;3094,92
90419;POSTRE DANONINO-094-MAXI-VAIN.    2X70GR;3092,41
3084;POLENTA LA ESPAÐOLA               X500GR;3090,99
7600;JUGO GATORADE NARANJA  -1103-     X473CC;3082,68
